team_1,team_2,cup_match,late_stage,weeks_ago,result
TON,SAM,0,0,901,lost
ARG,ENG,0,0,900,lost
NZL,IRE,0,0,900,won
AUS,FRA,0,0,900,won
USA,SCO,0,0,900,lost
SAM,TON,0,0,899,won
AUS,FRA,0,0,899,won
RSA,ARG,0,0,899,won
NZL,FIJ,0,0,899,won
RSA,SAM,0,0,898,won
NZL,AUS,0,0,897,won
NZL,RSA,0,0,896,won
AUS,RSA,0,0,895,won
AUS,NZL,0,0,894,won
RSA,NZL,0,0,893,lost
RSA,AUS,0,0,892,won
IRE,ROM,0,0,889,won
RUS,IRE,0,0,887,lost
SPA,ITA,0,0,887,lost
IRE,GEO,0,0,886,won
ITA,ROM,0,0,886,won
WAL,ROM,0,0,881,won
ARG,AUS,0,0,881,lost
IRE,AUS,0,0,880,won
SCO,ROM,0,0,880,won
WAL,FIJ,0,0,880,won
ENG,NZL,0,0,880,won
FRA,RSA,0,0,880,won
FRA,NZL,0,0,879,lost
ENG,AUS,0,0,879,won
ITA,ARG,0,0,879,lost
SCO,RSA,0,0,879,won
WAL,CAN,0,0,879,won
IRE,FIJ,0,0,879,won
ITA,AUS,0,0,878,lost
IRE,ARG,0,0,878,won
WAL,NZL,0,0,878,lost
ENG,RSA,0,0,878,won
FRA,CAN,0,0,878,won
SCO,FIJ,0,0,878,won
ITA,WAL,0,0,866,won
ENG,FRA,0,0,866,won
SCO,IRE,0,0,866,lost
ITA,IRE,0,0,865,lost
WAL,ENG,0,0,865,lost
FRA,SCO,0,0,865,won
IRE,FRA,0,0,863,won
SCO,WAL,0,0,863,won
ENG,ITA,0,0,863,won
ENG,SCO,0,0,861,won
WAL,IRE,0,0,861,lost
